Id,latitude,longitude,descRegion,descCountry,descAdmin1,descLocality,descQuality,observationDate,obsdate_amer,reportDate,status,descDisease,descDiseaseType,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,sumVaccinated
131080,31.1103134,30.340374,Africa,Egypt,Al Buhayrah (behera),Al Buhayrah (behera),Unknown,16/03/2009,16-Mar-2009,21/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,38,,,,
131372,30.9128,30.2906,Africa,Egypt,Al Buhayrah (behera),Hosh Eisa,Unknown,16/03/2009,16-Mar-2009,07/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
131375,31.1103134,30.340374,Africa,Egypt,Al Buhayrah (behera),Al Buhayrah (behera),Unknown,16/03/2009,16-Mar-2009,07/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
131078,30.8283653,31.0795479,Africa,Egypt,Al Gharbiyah (gharbia),Al Gharbiyah (gharbia),Unknown,17/03/2009,17-Mar-2009,21/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,42,,,,
131077,30.7911111,30.9980556,Africa,Egypt,Al Gharbiyah (gharbia),Tanta,Unknown,18/03/2009,18-Mar-2009,21/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,53,,,,
131079,30.9128,30.2906,Africa,Egypt,Al Buhayrah (behera),Hosh Eisa,Unknown,18/03/2009,18-Mar-2009,21/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,53,,,,
131371,30.9128,30.2906,Africa,Egypt,Al Buhayrah (behera),Hosh Eisa,Unknown,18/03/2009,18-Mar-2009,07/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,,,,,
131382,30.324482,31.2487984,Africa,Egypt,Al Qalyubiyah (kalyoubia),Al Qalyubiyah (kalyoubia),Unknown,22/03/2009,22-Mar-2009,08/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
131147,26.1704,32.7238,Africa,Egypt,Qina,Qina,Unknown,23/03/2009,23-Mar-2009,30/03/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
131369,25.671028,32.706583,Africa,Egypt,Qina,Luxor,Unknown,24/03/2009,24-Mar-2009,07/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,25,,,,
131381,31.1103134,30.340374,Africa,Egypt,Al Buhayrah (behera),Al Buhayrah (behera),Unknown,27/03/2009,27-Mar-2009,08/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
131368,31.4378567,30.8586903,Africa,Egypt,Kafr-el-sheikh,Kafr-el-sheikh,Unknown,27/03/2009,27-Mar-2009,07/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,chicken,",,12,,,,
,,,,,El Behira ,,,,31-Mar-2009,,,,,Human,,,,,,
131182,31.202,30.03328,Africa,Egypt,Al Iskandariyah (alex.),Hay Khorshid,Unknown,31/03/2009,31-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,42,,,,
131183,31.17453,29.8864,Africa,Egypt,Al Iskandariyah (alex.),HAY Alkabari,Unknown,31/03/2009,31-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,42,,,,
131185,29.8167,31.05,Africa,Egypt,Al Jizah (giza),10/06/2011,Unknown,31/03/2009,31-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,46,,,,
131186,29.8,31.23333,Africa,Egypt,Al Jizah (giza),Minshat Dahshur,Unknown,31/03/2009,31-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,77,,,,
131187,28.1018454,30.721899,Africa,Egypt,Al Minya (menia),Mrkz El Minya,Unknown,31/03/2009,31-Mar-2009,02/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,"Domestic,unspecified bird,",,26,,,,
131195,31.4378567,30.8586903,Africa,Egypt,Kafr-el-sheikh,Kafr-el-sheikh,Unknown,03/04/2009,3-Apr-2009,03/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,4,,,,
132145,30.0810909,31.565897,Africa,Egypt,Al Qahirah (cairo),Al Qahirah (cairo),Unknown,06/04/2009,6-Apr-2009,22/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132144,31.4378567,30.8586903,Africa,Egypt,Kafr-el-sheikh,Kafr-el-sheikh,Unknown,07/04/2009,7-Apr-2009,22/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
